date,state,fips,cases,deaths,dtc100,population,deaths100k
2020-06-30,Oregon,41,8695,210,2.415181138585394,4217737,4.978973321475474
2020-07-01,Oregon,41,9019,211,2.3395054884133497,4217737,5.0026827182444045
2020-07-02,Oregon,41,9344,212,2.268835616438356,4217737,5.026392115013335
2020-07-03,Oregon,41,9643,215,2.22959659856891,4217737,5.097520305320128
2020-07-04,Oregon,41,9937,216,2.173694273925732,4217737,5.1212297020890585
2020-07-05,Oregon,41,10237,218,2.1295301357819674,4217737,5.168648495626921
2020-07-06,Oregon,41,10413,218,2.093536924997599,4217737,5.168648495626921
2020-07-07,Oregon,41,10654,224,2.102496714848883,4217737,5.310904876240505
2020-07-08,Oregon,41,10872,228,2.097130242825607,4217737,5.405742463316229
2020-07-09,Oregon,41,11247,233,2.0716635547257045,4217737,5.524289447160882
2020-07-10,Oregon,41,11501,235,2.0433005825580386,4217737,5.571708240698745
2020-07-11,Oregon,41,11851,235,1.9829550248924144,4217737,5.571708240698745
2020-07-12,Oregon,41,12170,237,1.9474116680361544,4217737,5.619127034236606
2020-07-13,Oregon,41,12511,240,1.918311885540724,4217737,5.690255224543399
2020-07-14,Oregon,41,12834,247,1.9245753467352344,4217737,5.856221001925914
2020-07-15,Oregon,41,13129,249,1.8965648564247088,4217737,5.903639795463776
2020-07-16,Oregon,41,13541,252,1.861014696108116,4217737,5.974767985770568
2020-07-17,Oregon,41,13842,256,1.8494437220054905,4217737,6.069605572846291
2020-07-18,Oregon,41,14231,259,1.8199704869650761,4217737,6.140733763153084
2020-07-19,Oregon,41,14586,262,1.7962429727135611,4217737,6.211861953459877
2020-07-20,Oregon,41,14907,264,1.7709800764741397,4217737,6.259280746997739
2020-07-21,Oregon,41,15257,272,1.782788228354198,4217737,6.448955921149185
2020-07-22,Oregon,41,15436,274,1.7750712619849702,4217737,6.496374714687046
2020-07-23,Oregon,41,15765,277,1.757056771328893,4217737,6.56750290499384
2020-07-24,Oregon,41,16172,285,1.7623052188968586,4217737,6.7571780791452865
2020-07-25,Oregon,41,16492,286,1.7341741450400194,4217737,6.780887475914217
2020-07-26,Oregon,41,16764,291,1.7358625626342161,4217737,6.89943445975887
2020-07-27,Oregon,41,17122,289,1.687886929097068,4217737,6.852015666221009
2020-07-28,Oregon,41,17419,305,1.7509615936620933,4217737,7.2313660145239025
2020-07-29,Oregon,41,17805,313,1.7579331648413368,4217737,7.421041188675349
2020-07-30,Oregon,41,18166,318,1.7505229549708246,4217737,7.539588172520003
2020-07-31,Oregon,41,18510,325,1.7558076715289033,4217737,7.705553949902519
2020-08-01,Oregon,41,18817,329,1.7484189828346708,4217737,7.800391536978242
2020-08-02,Oregon,41,19097,331,1.73325653243965,4217737,7.847810330516103
2020-03-01,Florida,12,2,0,0.0,21477737,0.0
2020-03-02,Florida,12,2,0,0.0,21477737,0.0
2020-03-03,Florida,12,3,0,0.0,21477737,0.0
2020-03-04,Florida,12,3,0,0.0,21477737,0.0
2020-03-05,Florida,12,4,0,0.0,21477737,0.0
2020-03-06,Florida,12,7,2,28.57142857142857,21477737,0.009311968015997216
2020-03-07,Florida,12,12,2,16.666666666666664,21477737,0.009311968015997216
2020-03-08,Florida,12,13,2,15.384615384615385,21477737,0.009311968015997216
2020-03-09,Florida,12,14,2,14.285714285714285,21477737,0.009311968015997216
2020-03-10,Florida,12,23,2,8.695652173913043,21477737,0.009311968015997216
2020-03-11,Florida,12,26,2,7.6923076923076925,21477737,0.009311968015997216
2020-03-12,Florida,12,46,2,4.3478260869565215,21477737,0.009311968015997216
2020-03-13,Florida,12,70,2,2.857142857142857,21477737,0.009311968015997216
2020-03-14,Florida,12,70,3,4.285714285714286,21477737,0.013967952023995823
2020-03-15,Florida,12,109,3,2.7522935779816518,21477737,0.013967952023995823
2020-03-16,Florida,12,141,4,2.8368794326241136,21477737,0.018623936031994432
2020-03-17,Florida,12,210,6,2.857142857142857,21477737,0.027935904047991646
2020-03-18,Florida,12,326,7,2.147239263803681,21477737,0.032591888055990254
2020-03-19,Florida,12,434,8,1.8433179723502304,21477737,0.037247872063988864
2020-03-20,Florida,12,564,9,1.5957446808510638,21477737,0.04190385607198747
2020-03-21,Florida,12,764,11,1.4397905759162304,21477737,0.05121582408798469
2020-03-22,Florida,12,1000,13,1.3,21477737,0.0605277921039819
2020-03-23,Florida,12,1222,18,1.4729950900163666,21477737,0.08380771214397494
2020-03-24,Florida,12,1467,20,1.3633265167007498,21477737,0.09311968015997216
2020-03-25,Florida,12,1971,23,1.1669203450025367,21477737,0.10708763218396798
2020-03-26,Florida,12,2478,29,1.1702986279257466,21477737,0.13502353623195962
2020-03-27,Florida,12,3198,46,1.4383989993746091,21477737,0.21417526436793596
2020-03-28,Florida,12,4038,56,1.3868251609707776,21477737,0.26073510444792203
2020-03-29,Florida,12,4943,60,1.2138377503540358,21477737,0.2793590404799165
2020-03-30,Florida,12,5695,72,1.2642669007901668,21477737,0.33523084857589974
2020-03-31,Florida,12,6742,85,1.2607534856125777,21477737,0.39575864067988165
2020-04-01,Florida,12,7769,100,1.2871669455528383,21477737,0.4655984007998608
2020-04-02,Florida,12,9000,144,1.6,21477737,0.6704616971517995
2020-04-03,Florida,12,10260,169,1.6471734892787522,21477737,0.7868612973517647
2020-04-04,Florida,12,11537,194,1.681546329201699,21477737,0.9032608975517299
2020-04-05,Florida,12,12342,220,1.7825311942959003,21477737,1.024316481759694
2020-04-06,Florida,12,13621,253,1.8574260333308863,21477737,1.177963954023648
2020-04-07,Florida,12,14739,295,2.001492638577923,21477737,1.3735152823595893
2020-04-08,Florida,12,15690,322,2.0522625876354366,21477737,1.499226850575552
2020-04-09,Florida,12,16819,370,2.19989297817944,21477737,1.722714082959485
2020-04-10,Florida,12,17960,418,2.3273942093541202,21477737,1.9462013153434181
2020-04-11,Florida,12,18978,445,2.344820318263252,21477737,2.0719128835593805
2020-04-12,Florida,12,19855,460,2.316796776630572,21477737,2.14175264367936
2020-04-13,Florida,12,21011,498,2.3701870448812525,21477737,2.3186800359833066
2020-04-14,Florida,12,21620,570,2.6364477335800185,21477737,2.6539108845592065
2020-04-15,Florida,12,22526,613,2.7212998313060464,21477737,2.854118196903147
2020-04-16,Florida,12,23332,667,2.8587347848448483,21477737,3.105541333335071
2020-04-17,Florida,12,24745,725,2.929884825217216,21477737,3.3755884057989913
2020-04-18,Florida,12,25484,747,2.9312509810076914,21477737,3.4780200539749604
2020-04-19,Florida,12,26306,773,2.938493119440432,21477737,3.599075638182924
2020-04-20,Florida,12,27050,822,3.0388170055452863,21477737,3.8272188545748556
2020-04-21,Florida,12,27861,866,3.108287570438965,21477737,4.032082150926795
2020-04-22,Florida,12,28301,926,3.271969188367902,21477737,4.311441191406711
2020-04-23,Florida,12,29640,986,3.326585695006748,21477737,4.590800231886628
2020-04-24,Florida,12,30525,1045,3.423423423423423,21477737,4.865503288358545
2020-04-25,Florida,12,30831,1054,3.418637086049755,21477737,4.907407144430533
2020-04-26,Florida,12,31520,1073,3.404187817258883,21477737,4.995870840582507
2020-04-27,Florida,12,32130,1087,3.383131030189854,21477737,5.061054616694487
2020-04-28,Florida,12,32838,1170,3.5629453681710213,21477737,5.447501289358371
2020-04-29,Florida,12,33185,1216,3.6643061624227813,21477737,5.661676553726307
2020-04-30,Florida,12,33683,1267,3.7615414303951553,21477737,5.899131738134236
2020-05-01,Florida,12,34720,1313,3.7816820276497696,21477737,6.1133070025021725
2020-05-02,Florida,12,35455,1363,3.844309688337329,21477737,6.346106202902103
2020-05-03,Florida,12,36070,1378,3.820349320765179,21477737,6.415945963022081
2020-05-04,Florida,12,36889,1398,3.7897476212421046,21477737,6.509065643182054
2020-05-05,Florida,12,37431,1470,3.9272260960166707,21477737,6.844296491757953
2020-05-06,Florida,12,37994,1538,4.048007580144233,21477737,7.160903404301859
2020-05-07,Florida,12,38820,1599,4.1190108191653785,21477737,7.444918428789775
2020-05-08,Florida,12,39191,1668,4.2560792018575695,21477737,7.7661813253416785
2020-05-09,Florida,12,39993,1714,4.285750006251094,21477737,7.980356589709615
2020-05-10,Florida,12,40588,1720,4.237705725830295,21477737,8.008292493757606
2020-05-11,Florida,12,40974,1734,4.231951969541661,21477737,8.073476269869587
2020-05-12,Florida,12,41915,1778,4.241918167720386,21477737,8.278339566221526
2020-05-13,Florida,12,42394,1826,4.307213284898807,21477737,8.501826798605457
2020-05-14,Florida,12,43202,1874,4.337762140641637,21477737,8.725314030989392
2020-05-15,Florida,12,44130,1916,4.341717652390664,21477737,8.920865359325333
2020-05-16,Florida,12,44803,1963,4.381403031047028,21477737,9.139696607701268
2020-05-17,Florida,12,45580,1972,4.3264589732338745,21477737,9.181600463773256
2020-05-18,Florida,12,46434,1996,4.2985743205409825,21477737,9.293344079965221
2020-05-19,Florida,12,46936,2051,4.369780126129196,21477737,9.549423200405144
2020-05-20,Florida,12,47463,2095,4.413964561869245,21477737,9.754286496757084
2020-05-21,Florida,12,48667,2143,4.403394497297964,21477737,9.977773729141017
2020-05-22,Florida,12,49443,2189,4.4273203486843435,21477737,10.191948993508953
2020-05-23,Florida,12,50119,2232,4.4534009058440915,21477737,10.392156305852893
2020-05-24,Florida,12,50859,2236,4.396468668278968,21477737,10.410780241884888
2020-05-25,Florida,12,51738,2251,4.350767327689513,21477737,10.480620002004867
2020-05-26,Florida,12,52247,2258,4.3217792409133535,21477737,10.513211890060857
2020-05-27,Florida,12,52626,2318,4.404666894690838,21477737,10.792570930540775
2020-05-28,Florida,12,53277,2363,4.435309795971996,21477737,11.002090210900711
2020-05-29,Florida,12,54489,2412,4.42658151186478,21477737,11.230233427292642
2020-05-30,Florida,12,55416,2446,4.413887685866897,21477737,11.388536883564596
2020-05-31,Florida,12,56155,2450,4.362924049505832,21477737,11.407160819596589
2020-06-01,Florida,12,56822,2459,4.32754918869452,21477737,11.449064675668577
